i,X,Y
1,682164,1195
2,119994,27
3,138702,0
4,464973,89
5,78503,16
6,150251,69
7,204692,82
8,570623,170
9,316779,66
10,337530,151
11,1965820,1028
12,1587962,921
13,3302660,5748
14,2436467,1431
15,317689,83
16,156649,227
17,166063,299
18,114308,122
19,166112,72
20,293488,77
21,400191,156
22,660480,82
23,1745271,526
24,269856,46
25,285890,101
26,555014,365
27,2068460,1806
28,1157436,700
29,330126,92
30,124254,63
31,64602,3
32,44975,24
33,286583,25
34,451047,168
35,129333,37
36,110692,5
37,129541,28
38,95900,82
39,73449,74
40,1048096,838
41,128623,47
42,108948,17
43,305094,48
44,85302,60
45,78440,17
46,108901,11
47,222546,142
